Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,10.63,10.68,10.5567,10.5767,4.006145,792999.0
2007-01-03,10.6467,10.68,10.5767,10.5967,4.013719999999999,688476.0
2007-01-04,10.5733,10.63,10.45,10.53,3.988455,921831.0
2007-01-05,10.53,10.9667,10.53,10.8267,4.100837,4513503.0
2007-01-08,10.8367,10.92,10.76,10.87,4.117237,1624890.0
2007-01-09,10.9,11.1133,10.8567,10.9767,4.157653,1908528.0
2007-01-10,10.9667,11.0333,10.86,10.99,4.1626900000000004,2050929.0
2007-01-11,10.9833,11.16,10.9033,11.1033,4.205605,3105432.0
2007-01-12,11.14,11.1733,11.01,11.1533,4.224545,1863825.0
2007-01-15,11.1667,11.2567,11.15,11.25,4.26117,934128.0
2007-01-16,11.4333,11.6067,11.4333,11.54,4.371014,3820569.0
2007-01-17,11.5167,11.9467,11.3833,11.7967,4.468245,4166220.0
2007-01-18,11.8033,12.2567,11.8033,12.07,4.571763,6049353.0
2007-01-19,11.9967,12.1667,11.89,12.12,4.590701,2833992.0
2007-01-22,12.0367,12.1933,12.0367,12.14,4.598276,2375850.0
2007-01-23,11.9733,12.1133,11.6667,11.8933,4.504834,3589254.0
2007-01-24,11.8367,11.9467,11.7367,11.9,4.507371,2418663.0
2007-01-25,12.0867,12.1267,11.72,11.8367,4.483395,2394270.0
2007-01-26,11.7533,11.8533,11.6633,11.7133,4.436655,2655684.0
2007-01-29,11.7633,11.82,11.6667,11.7333,4.444230999999999,1530954.0
2007-01-30,11.73,11.8667,11.6967,11.7733,4.459381,2169222.0
2007-01-31,11.77,11.77,11.6,11.67,4.420255,1425495.0
2007-02-01,11.7633,11.8333,11.6367,11.7533,4.4518059999999995,1297950.0
2007-02-02,11.8167,12.0133,11.6667,11.8667,4.494758999999999,1633431.0
2007-02-05,11.8167,12.1667,11.7233,11.8767,4.498546,2509947.0
2007-02-06,11.7033,12.25,11.7033,11.96,4.530098000000001,2167755.0
2007-02-07,12.0633,12.0633,11.8067,11.9233,4.516197,1908843.0
2007-02-08,11.92,11.9667,11.7533,11.8533,4.489683,1269876.0
2007-02-09,11.7767,12.0233,11.7767,11.99,4.541461,1155315.0
2007-02-12,11.95,11.95,11.7833,11.8667,4.494758999999999,1313979.0
